Alt PM (km),Temp PM (K),Alt PM (km)
121.4,140.02836215979403,121.4
121.4,140.0078183818057,121.4
121.5,139.9895058681372,121.5
121.7,139.95650863773082,121.7
121.9,139.88460635728967,121.9
122.0,139.77083974763244,122.0
122.3,139.63380874866561,122.3
122.3,139.48837307110813,122.3
122.3,139.32299545275413,122.3
122.6,139.10245801700944,122.6
122.6,138.79794083795792,122.6
122.9,138.400957682701,122.9
123.1,137.92765774392257,123.1
123.1,137.426575198643,123.1
123.2,136.94522525159098,123.2
123.3,136.4855390069577,123.3
123.4,136.01542639191072,123.4
123.8,135.51198847257828,123.8
123.9,134.98862588795546,123.9
123.9,134.48613862963853,123.9
124.0,134.030116898442,124.0
124.0,133.60976946424654,124.0
124.4,133.2062129626055,124.4
124.4,132.82025427099376,124.4
124.5,132.46934065953326,124.5
124.7,132.1607285443831,124.7
124.8,131.87353271864546,124.8
124.9,131.58363358624527,124.9
124.9,131.29568033181482,124.9
125.1,131.04007298374248,125.1
125.4,130.84495406260393,125.4
125.4,130.7153070524169,125.4
125.5,130.6443909573497,125.5
125.6,130.63281354855926,125.6
125.6,130.67842492298558,125.6
126.0,130.76757742202125,126.0
126.0,130.9025953053801,126.0
126.1,131.10935603628613,126.1
126.2,131.3928480987358,126.2
126.3,131.7205379821141,126.3
126.6,132.0584210991045,126.6
126.6,132.3905985988448,126.6
126.7,132.70841076095846,126.7
127.0,132.99638402511295,127.0
127.1,133.23653186147348,127.1
127.1,133.44579675299002,127.1
127.2,133.6985784644778,127.2
127.2,134.08733801620903,127.2
127.6,134.65713984901132,127.6
127.7,135.37893602403443,127.7
127.8,136.18699514555215,127.8
127.9,137.0373750276233,127.9
127.9,137.93026260766175,127.9
128.0,138.8862599126668,128.0
128.3,139.91081951316144,128.3
128.5,140.99528875152066,128.5
128.5,142.13878029757868,128.5
128.5,143.33575502546188,128.5
128.8,144.55177720778426,128.8
129.0,145.7410127688617,129.0
129.1,146.8900067348693,129.1
129.2,148.03377023871002,129.2
129.2,149.22442139798147,129.2
129.6,150.48847267941636,129.6
129.8,151.81779840989063,129.8
129.8,153.18965884976453,129.8
129.9,154.59154946214295,129.9
129.9,156.03802397327797,129.9
130.4,157.56022539022499,130.4
130.6,159.1796657257018,130.6
130.6,160.89336693977242,130.6
130.7,162.66965539251092,130.7
130.7,164.46616967643524,130.7
131.1,166.26483856786527,131.1
131.3,168.07879906589514,131.3
131.3,169.92152792916784,131.3
131.6,171.7786476537486,131.6
131.7,173.6229138504457,131.7
132.0,175.45258026580427,132.0
132.1,177.29001880876672,132.1
132.3,179.13910975365715,132.3
132.5,180.96623026401068,132.5
132.7,182.73835495649521,132.7
132.8,184.46640567683585,132.8
132.9,186.1885598148161,132.9
133.2,187.9179551803901,133.2
133.5,189.63032623611315,133.5
133.7,191.30772713594536,133.7
133.7,192.9733382113276,133.7
133.7,194.67264706323817,133.7
134.2,196.4363981551773,134.2
134.4,198.2642825345577,134.4
134.5,200.12574435930136,134.5
134.5,201.97174012804447,134.5
134.8,203.7641136231681,134.8
135.2,205.49639297715396,135.2
135.2,207.1746558439957,135.2
135.4,208.7891253840876,135.4
135.5,210.31582174313218,135.5
135.9,211.74339083795277,135.9
135.9,213.08710583862992,135.9
136.2,214.36687899527368,136.2
136.4,215.58433298837653,136.4
136.6,216.7311719038487,136.6
136.8,217.81382573291228,136.8
137.0,218.85929853568618,137.0
137.2,219.88942250396005,137.2
137.4,220.90192688052161,137.4
137.7,221.87750431711257,137.7
137.7,222.7880835790717,137.7
138.1,223.61199551111676,138.1
138.1,224.35718176268276,138.1
138.5,225.0519210518638,138.5
138.7,225.7074419661583,138.7
138.8,226.30483842763496,138.8
139.0,226.8202649840732,139.0
139.2,227.25394917084472,139.2
139.7,227.6214193038661,139.7
139.7,227.92183142606916,139.7
139.7,228.1422629051076,139.7
139.9,228.2865137178702,139.9
140.3,228.3709826074101,140.3
140.3,228.39703402033396,140.3
140.7,228.35070729542375,140.7
140.8,228.22459891353026,140.8
140.9,228.02006391012668,140.9
141.1,227.74306951616973,141.1
141.3,227.4059716693624,141.3
141.5,227.010870139335,141.5
141.7,226.54500299701203,141.7
142.0,226.0053512530531,142.0
142.0,225.4039077409179,142.0
142.2,224.7561925757963,142.2
142.3,224.07534088964243,142.3
142.4,223.3564800955862,142.4
142.8,222.57605861223823,142.8
143.0,221.7271205955873,143.0
143.1,220.8410294108653,143.1
143.3,219.96214342796242,143.3
143.4,219.10789551600112,143.4
143.6,218.25578923957528,143.6
143.8,217.3673898347021,143.8
144.1,216.4240712351657,144.1
144.3,215.43032618796238,144.3
144.4,214.38971559142337,144.4
144.5,213.29950493842824,144.5
144.6,212.1646079118726,144.6
145.0,211.00802856445293,145.0
145.4,209.86512224126423,145.4
145.5,208.7609695313932,145.5
145.5,207.7035753274023,145.5
146.0,206.7039320279829,146.0
146.4,205.78113267053314,146.4
146.4,204.95352966766964,146.4
146.8,204.25144974980566,146.8
147.2,203.7204007127005,147.2
147.4,203.39331787104373,147.4
147.4,203.26391993344228,147.4
147.9,203.28355420773195,147.9
148.4,203.391798281629,148.4
155.0,205.42272518521654,155.0
300.0,205.42272518521654,300.0
