Pressure (mbar),Alt AM (km),Std Alt AM (km),Temp AM (K),Std Temp AM (K),Density AM (cm-3),Std Density AM (cm-3),VMR AM (1),Alt PM (km),Std Alt PM (km),Temp PM (K),Std Temp PM (K),Density PM (cm-3),Std Density PM (cm-3),VMR PM (1)
5.01E-08,145.5,1.8,184.8,11.3,1.28E+09,1.22E+08,0.66,148.4,0.8,203.7,26.4,1.07E+09,1.86E+08,0.6
6.31E-08,144.4,1.9,187.3,18.3,1.63E+09,1.36E+08,0.68,147.4,0.3,207.3,10.1,1.38E+09,2.91E+08,0.62
7.94E-08,143.2,1.9,191.8,20.9,2.07E+09,1.78E+08,0.7,146.4,0.3,209.4,12.3,1.79E+09,5.00E+08,0.64
1.00E-07,142,1.9,196.8,26.2,2.61E+09,2.64E+08,0.72,145.4,0.4,210.8,21,2.30E+09,7.30E+08,0.66
1.26E-07,140.9,2,202.4,33,3.28E+09,4.00E+08,0.74,144.3,0.6,215.5,19.1,2.91E+09,9.55E+08,0.68
1.58E-07,139.6,2.1,208.4,38.5,4.10E+09,5.44E+08,0.76,143.3,0.5,215.5,17.7,3.78E+09,1.22E+09,0.7
2.00E-07,138.4,2.2,214.3,43,5.12E+09,7.27E+08,0.78,142.3,0.8,215.6,32.8,4.88E+09,1.44E+09,0.72
2.51E-07,137.2,2.3,220.1,47.7,6.39E+09,9.84E+08,0.79,141.3,1.1,217,48.1,6.19E+09,1.57E+09,0.73
3.16E-07,135.9,2.4,225.5,49.3,8.00E+09,1.27E+09,0.81,140.3,1,217.8,41.7,7.90E+09,1.71E+09,0.75
3.98E-07,134.6,2.6,229.9,50,1.00E+10,1.63E+09,0.82,139.2,0.9,218.1,38.8,1.01E+10,1.95E+09,0.76
5.01E-07,133.4,2.7,232.9,50.2,1.27E+10,2.14E+09,0.83,138.1,0.8,216.4,37.4,1.30E+10,2.33E+09,0.78
6.31E-07,132.4,2.9,230.3,49.1,1.63E+10,2.89E+09,0.85,137,0.9,210.9,36.9,1.71E+10,2.94E+09,0.79
7.94E-07,131.2,3.1,230,51.8,2.08E+10,3.97E+09,0.86,135.9,1.1,207.7,20.7,2.23E+10,2.14E+09,0.81
1.00E-06,130.2,3.3,223.8,53.5,2.72E+10,5.56E+09,0.87,134.8,1.1,201.3,19.9,2.94E+10,2.70E+09,0.82
1.26E-06,129.2,3.6,215.9,53.1,3.59E+10,7.71E+09,0.87,133.7,1,194.2,30.8,3.90E+10,6.29E+09,0.83
1.58E-06,128.3,3,206.8,45.2,4.77E+10,9.28E+09,0.88,132.7,0.9,185.9,34.1,5.21E+10,1.03E+10,0.84
2.00E-06,127.6,3,194.8,56.1,6.44E+10,1.52E+10,0.89,131.7,0.8,177.2,28.9,6.97E+10,1.35E+10,0.85
2.51E-06,126.8,2.7,185.8,74.8,8.55E+10,2.76E+10,0.89,130.7,0.6,168.9,22.4,9.30E+10,1.51E+10,0.86
3.16E-06,126.1,2.5,174.9,74.5,1.15E+11,4.00E+10,0.9,129.8,0.5,160.8,19.1,1.24E+11,1.71E+10,0.87
3.98E-06,125.4,2.3,164.4,74.7,1.55E+11,5.54E+10,0.9,129,0.6,154.4,17,1.64E+11,2.00E+10,0.88
5.01E-06,124.8,2.2,155.5,72.3,2.08E+11,7.25E+10,0.9,128.3,0.5,149.7,15.8,2.11E+11,2.19E+10,0.88
6.31E-06,124.2,2.1,149.4,68.4,2.75E+11,9.46E+10,0.91,127.7,0.5,146.5,13.2,2.70E+11,2.40E+10,0.88
7.94E-06,123.6,2,144.8,64.8,3.62E+11,1.24E+11,0.91,127.1,0.6,143.9,11.9,3.44E+11,2.91E+10,0.89
