Pressure (mbar),Alt AM (km),Std Alt AM (km),Temp AM (K),Std Temp AM (K),Density AM (cm-3),Std Density AM (cm-3),VMR AM (1),Alt PM (km),Std Alt PM (km),Temp PM (K),Std Temp PM (K),Density PM (cm-3),Std Density PM (cm-3),VMR PM (1)
1.00E-05,123,1.9,141.2,61.4,4.72E+11,1.60E+11,0.91,126.6,0.8,141.8,16.6,4.36E+11,5.45E+10,0.89
1.26E-05,122.5,1.7,138.4,58.1,6.13E+11,2.07E+11,0.91,126,1.7,140.7,36.2,5.50E+11,1.08E+11,0.9
1.58E-05,122,1.7,136.1,53.1,7.93E+11,2.49E+11,0.91,125.5,1.3,140.1,35.5,6.92E+11,1.45E+11,0.9
2.00E-05,121.5,1.6,133.7,48.5,1.02E+12,3.05E+11,0.91,124.9,1.1,140.3,37.7,8.66E+11,2.04E+11,0.9
2.51E-05,121,1.5,131,44.1,1.33E+12,3.89E+11,0.92,124.4,1,140.5,38.7,1.08E+12,2.77E+11,0.91
3.16E-05,120.5,1.5,127.9,40.4,1.72E+12,5.16E+11,0.92,123.8,1,140.1,37.9,1.37E+12,3.42E+11,0.91
3.98E-05,120,1.4,124.4,37.3,2.24E+12,7.07E+11,0.92,123.2,1,139.2,36.4,1.75E+12,4.18E+11,0.91
5.01E-05,119.5,1.3,120.9,34.3,2.90E+12,9.68E+11,0.92,122.6,1,138.1,6.6,2.25E+12,4.30E+11,0.91
6.31E-05,119,1.3,117.8,30.2,3.75E+12,1.20E+12,0.92,122,1.5,136.9,11.5,2.89E+12,5.18E+11,0.91
7.94E-05,118.5,1.3,115,27.7,4.83E+12,1.50E+12,0.92,121.4,1.8,135.5,17.5,3.73E+12,6.90E+11,0.91
1.00E-04,118,1.4,112.7,26.2,6.18E+12,1.88E+12,0.93,120.8,1.8,133.9,24,4.80E+12,9.03E+11,0.92
1.26E-04,117.5,1.5,112.4,26.5,7.77E+12,2.27E+12,0.93,120.2,1.7,134.2,25.6,6.07E+12,1.13E+12,0.92
1.58E-04,117,1.6,112.2,28.4,9.79E+12,2.90E+12,0.93,119.6,1.6,133.7,25.8,7.75E+12,1.45E+12,0.92
2.00E-04,116.5,1.6,113.5,30.4,1.22E+13,3.76E+12,0.93,119,1.5,133.9,25.6,9.83E+12,1.87E+12,0.92
2.51E-04,116,1.8,116.4,31.1,1.49E+13,4.86E+12,0.93,118.4,1.4,135.8,25.4,1.23E+13,2.36E+12,0.92
3.16E-04,115.4,2,120,27.5,1.82E+13,5.14E+12,0.93,117.8,1.3,138.4,25,1.53E+13,2.96E+12,0.93
3.98E-04,114.8,2.1,127.1,24.9,2.16E+13,5.21E+12,0.94,117.1,1.2,143.6,25.1,1.86E+13,3.75E+12,0.93
5.01E-04,114.2,2.2,134.1,23.8,2.57E+13,5.49E+12,0.94,116.4,1.1,148.1,28,2.28E+13,4.97E+12,0.93
6.31E-04,113.5,2.3,141.9,23.7,3.06E+13,5.98E+12,0.94,115.7,0.9,152.6,30.2,2.79E+13,6.37E+12,0.93
7.94E-04,112.8,2.3,150.4,24.1,3.64E+13,6.57E+12,0.94,114.9,0.8,158,26.5,3.40E+13,6.53E+12,0.94
1.00E-03,112,2.4,159.2,25,4.30E+13,7.41E+12,0.94,114.1,0.7,164.2,22.2,4.11E+13,6.24E+12,0.94
1.26E-03,111.2,2.5,168.5,26.4,5.11E+13,8.55E+12,0.94,113.3,0.6,170.1,19.1,5.01E+13,6.23E+12,0.94
1.58E-03,110.3,2.5,177.7,27.7,6.10E+13,1.02E+13,0.95,112.4,0.5,175.6,17.7,6.12E+13,6.83E+12,0.94
2.00E-03,109.3,2.4,186.7,29,7.31E+13,1.24E+13,0.95,111.5,0.5,181,17.6,7.50E+13,8.00E+12,0.94
2.51E-03,108.4,2.3,194.7,23.7,8.82E+13,1.34E+13,0.95,110.6,0.5,186.4,18.2,9.19E+13,9.36E+12,0.95
3.16E-03,107.3,2.1,201.5,21.1,1.07E+14,1.47E+13,0.95,109.7,0.5,191.6,22.3,1.13E+14,1.44E+13,0.95
3.98E-03,106.3,1.9,206.8,19.3,1.32E+14,1.66E+13,0.95,108.7,0.5,196.8,30.8,1.38E+14,2.35E+13,0.95
5.01E-03,105.3,1.9,210.8,18,1.63E+14,1.83E+13,0.96,107.7,0.5,202.3,40.9,1.70E+14,3.55E+13,0.95
6.31E-03,104.2,1.8,213.4,17,2.03E+14,2.08E+13,0.96,106.7,0.7,207,51,2.09E+14,4.96E+13,0.95
7.94E-03,103.2,1.8,214.8,16.4,2.54E+14,2.41E+13,0.96,105.6,0.9,211,58.4,2.59E+14,6.71E+13,0.95
1.00E-02,102.1,1.9,215,16.1,3.21E+14,2.91E+13,0.96,104.6,1.1,214.5,51.2,3.21E+14,7.53E+13,0.96
1.26E-02,101.1,1.9,213.9,15.3,4.07E+14,3.39E+13,0.96,103.5,1.3,217,45.7,3.99E+14,8.38E+13,0.96
1.58E-02,100.1,1.9,211.2,14.4,5.19E+14,3.94E+13,0.96,102.4,1.5,218.3,38.9,5.00E+14,8.91E+13,0.96
2.00E-02,99.1,2,207.7,13.6,6.65E+14,4.75E+13,0.96,101.2,1.5,218.2,29.8,6.31E+14,8.78E+13,0.96
2.51E-02,98.1,2,203.6,13.4,8.55E+14,5.73E+13,0.96,100.1,1.4,216.9,11.6,8.02E+14,4.00E+13,0.96
3.16E-02,97,1.9,198.6,13.4,1.10E+15,7.47E+13,0.96,99,1.3,214.4,7.3,1.02E+15,3.32E+13,0.96
3.98E-02,96,1.9,192.5,18.6,1.43E+15,1.33E+14,0.96,97.9,1.3,210.8,4.7,1.31E+15,2.81E+13,0.96
5.01E-02,95.1,1.8,189.3,25.4,1.84E+15,2.39E+14,0.96,96.8,1.4,206.4,1.7,1.69E+15,1.31E+13,0.96
6.31E-02,94.1,1.7,184.1,33.6,2.38E+15,4.16E+14,0.96,95.7,1.4,201.5,3.5,2.19E+15,3.97E+13,0.96
7.94E-02,93.2,1.5,180,38,3.06E+15,6.52E+14,0.96,94.6,1.4,195.6,5.3,2.84E+15,8.28E+13,0.96
1.00E-01,92.3,1.2,176.2,40,3.93E+15,1.01E+15,0.96,93.6,1.4,189.6,6.6,3.68E+15,1.38E+14,0.96
1.26E-01,91.4,0.4,172.8,12.9,5.04E+15,3.76E+14,0.96,92.7,1.3,183.8,7.5,4.78E+15,1.96E+14,0.96
1.58E-01,90.6,0.4,170.7,13.1,6.43E+15,5.13E+14,0.96,91.7,1.3,178.6,8.5,6.19E+15,2.95E+14,0.96
2.00E-01,89.7,0.3,166.9,15.1,8.28E+15,7.59E+14,0.96,90.8,1.3,173.4,11.1,8.01E+15,5.31E+14,0.96
2.51E-01,88.9,0.2,165.9,17.3,1.05E+16,1.12E+15,0.96,89.9,1.3,171.2,13.9,1.02E+16,8.94E+14,0.96
3.16E-01,88.1,0.1,164.9,19.4,1.33E+16,1.56E+15,0.96,89.1,1.2,169.8,17.5,1.29E+16,1.45E+15,0.96
3.98E-01,87.2,0,162.4,19.6,1.70E+16,2.08E+15,0.97,88.3,1.2,169.6,21.6,1.63E+16,2.22E+15,0.96
5.01E-01,86.4,0.1,159.6,20.5,2.17E+16,2.86E+15,0.97,87.4,1,170.5,24.8,2.04E+16,3.15E+15,0.97
6.31E-01,,,,,,,,86.6,0.5,172.7,19.6,2.54E+16,2.69E+15,0.97
7.94E-01,,,,,,,,85.7,0.4,176.1,21.6,3.15E+16,3.52E+15,0.97
1.00E+00,,,,,,,,84.8,0.4,180.6,22.9,3.87E+16,4.50E+15,0.97
