Alt AM (km),Temp AM (K),Alt AM (km)
145.5,205.0105027022719,145.5
145.5,203.56908914193298,145.5
145.9,202.18015397046682,145.9
146.3,200.90429134802966,146.3
146.4,199.84323319308072,146.4
146.8,199.14230183199024,146.8
147.2,198.96960266242445,147.2
147.2,199.4893402549427,147.2
147.3,200.79801686265375,147.3
147.5,202.82111294116322,147.5
148.4,205.2865839135785,148.4
155.0,202.03808917437482,155.0
300.0,202.03808917437482,300.0
