Pressure (mbar),Alt AM (km),Std Alt AM (km),Temp AM (K),Std Temp AM (K),Density AM (cm-3),Std Density AM (cm-3),VMR AM (1),Alt PM (km),Std Alt PM (km),Temp PM (K),Std Temp PM (K),Density PM (cm-3),Std Density PM (cm-3),VMR PM (1)
5.01E-08,,,,,,,,144.4,6.6,218.5,3,1.08E+09,2.03E+08,0.68
6.31E-08,147.3,1.4,161,8.8,1.62E+09,2.21E+08,0.62,143.6,6.4,221.6,1.9,1.38E+09,2.28E+08,0.693
7.94E-08,147.2,1.1,174.9,20.6,1.91E+09,3.24E+08,0.622,143,6.5,225.1,3.9,1.73E+09,2.43E+08,0.704
1.00E-07,146.8,1.7,187.4,17.1,2.30E+09,3.76E+08,0.63,142.4,6.5,229.1,5.9,2.17E+09,2.50E+08,0.713
1.26E-07,146.3,1.5,198.2,17.9,2.80E+09,4.31E+08,0.642,142,6.5,233.2,6.6,2.70E+09,2.74E+08,0.721
1.58E-07,145.5,2.2,207.7,26.8,3.45E+09,6.18E+08,0.658,141.5,6.9,235.9,7.8,3.40E+09,3.89E+08,0.729
2.00E-07,144.8,2.2,216.4,36.4,4.26E+09,8.99E+08,0.673,140.9,6.7,237.3,42.4,4.31E+09,1.21E+09,0.74
2.51E-07,144,1.9,223.6,34.7,5.31E+09,9.52E+08,0.687,140.3,6.4,237.7,40.5,5.46E+09,1.19E+09,0.749
3.16E-07,143,2.4,229.5,60.6,6.70E+09,2.09E+09,0.704,139.7,6.5,237.7,39.5,6.94E+09,1.13E+09,0.759
3.98E-07,141.8,2.5,231.4,56.8,8.59E+09,2.43E+09,0.724,139,5,235.6,32.5,8.89E+09,1.49E+09,0.768
5.01E-07,140.6,2.4,230.4,50.8,1.12E+10,2.90E+09,0.744,138.1,1.2,231,5.5,1.16E+10,2.12E+09,0.779
6.31E-07,139.4,2.3,225.4,50.3,1.48E+10,3.61E+09,0.763,137.2,4.4,223.3,32.4,1.55E+10,2.50E+09,0.791
7.94E-07,138.2,2.1,222,50.1,1.95E+10,4.25E+09,0.778,136.2,4.4,215.6,35.1,2.06E+10,3.63E+09,0.804
1.00E-06,137,2.2,215.2,50.6,2.60E+10,5.43E+09,0.794,135.2,4.3,206.1,43.5,2.76E+10,5.96E+09,0.817
1.26E-06,135.8,2.3,207.1,55.7,3.49E+10,7.67E+09,0.809,134.2,4.3,196.3,33.1,3.71E+10,7.64E+09,0.827
1.58E-06,134.6,2.3,197.7,52.1,4.70E+10,9.37E+09,0.823,133.2,4.5,185.9,35.7,5.03E+10,1.08E+10,0.837
2.00E-06,133.5,2.3,186.5,52.1,6.40E+10,1.25E+10,0.834,132.3,4.6,175,37.6,6.84E+10,1.64E+10,0.846
2.51E-06,132.4,2.3,175.2,49.5,8.70E+10,1.71E+10,0.844,131.3,4.6,164.4,38.7,9.29E+10,2.36E+10,0.855
3.16E-06,131.4,2.2,165,43.2,1.18E+11,2.35E+10,0.854,130.6,4.6,154.9,38.9,1.25E+11,3.54E+10,0.863
3.98E-06,130.5,2.2,156.4,34.7,1.58E+11,3.18E+10,0.863,129.8,4.6,146.9,38.1,1.67E+11,4.66E+10,0.87
5.01E-06,129.7,2.1,149.1,25.6,2.10E+11,3.91E+10,0.871,129.2,4.7,140.6,35.8,2.21E+11,5.73E+10,0.874
6.31E-06,128.8,2.1,142.4,22.1,2.79E+11,4.84E+10,0.877,128.5,4.8,135.1,32.9,2.91E+11,7.03E+10,0.879
7.94E-06,128.1,2,136.3,23.3,3.68E+11,7.06E+10,0.882,127.9,4.9,130.5,30.8,3.80E+11,8.53E+10,0.883
1.00E-05,127.4,1.9,130.8,25.4,4.84E+11,1.05E+11,0.887,127.2,5.1,127.2,29.5,4.93E+11,1.01E+11,0.888
1.26E-05,126.8,1.9,126.2,27.2,6.32E+11,1.51E+11,0.891,126.6,5.2,125.8,28.8,6.31E+11,1.17E+11,0.892
1.58E-05,126.1,1.8,123.6,29.3,8.16E+11,2.16E+11,0.896,126,5.4,125.9,28.3,8.00E+11,1.38E+11,0.897
2.00E-05,125.5,1.8,122.2,31.4,1.04E+12,3.09E+11,0.9,125.4,5.5,127,25.7,1.01E+12,1.57E+11,0.901
2.51E-05,124.9,1.8,121.3,33.5,1.33E+12,4.44E+11,0.904,124.9,5.7,129.1,23.6,1.25E+12,1.76E+11,0.904
3.16E-05,124.3,1.7,121.1,33.6,1.67E+12,6.18E+11,0.906,124.4,5.8,132.6,20.9,1.54E+12,1.83E+11,0.905
3.98E-05,123.6,1.8,121.5,30.9,2.10E+12,7.16E+11,0.908,123.9,6,137.1,18.4,1.89E+12,1.89E+11,0.907
5.01E-05,122.9,1.8,122.5,30,2.63E+12,8.24E+11,0.91,123.4,6.1,142.5,16.8,2.29E+12,2.02E+11,0.908
6.31E-05,122.2,1.8,124.4,27.6,3.27E+12,9.32E+11,0.912,122.9,6.2,148.2,17.1,2.78E+12,2.51E+11,0.91
