Pressure (mbar),Alt AM (km),Std Alt AM (km),Temp AM (K),Std Temp AM (K),Density AM (cm-3),Std Density AM (cm-3),VMR AM (1),Alt PM (km),Std Alt PM (km),Temp PM (K),Std Temp PM (K),Density PM (cm-3),Std Density PM (cm-3),VMR PM (1)
7.94E-05,121.4,1.8,126.9,39.1,4.04E+12,1.16E+12,0.915,122.3,6.4,154.1,17.1,3.37E+12,3.06E+11,0.912
1.00E-04,120.6,2,130.2,27,4.97E+12,1.44E+12,0.917,121.7,6.6,158.7,17.6,4.13E+12,3.89E+11,0.914
1.26E-04,119.8,2.1,133.8,33.6,6.11E+12,1.67E+12,0.92,120.9,6.8,161.7,20.2,5.11E+12,5.29E+11,0.916
1.58E-04,119,2.1,137.3,32.3,7.51E+12,1.94E+12,0.922,120.1,6.9,165.1,24.1,6.31E+12,7.22E+11,0.919
2.00E-04,118.2,2.1,141,31,9.24E+12,2.22E+12,0.925,119.2,7,167.6,26,7.85E+12,9.65E+11,0.922
2.51E-04,117.4,2.2,144.5,29.3,1.14E+13,2.50E+12,0.928,118.3,6.7,168.9,30,9.85E+12,1.44E+12,0.925
3.16E-04,116.7,2.2,148.3,28.2,1.41E+13,2.84E+12,0.93,117.3,6.2,169,25.1,1.25E+13,1.61E+12,0.928
3.98E-04,116,2.2,152.1,30.1,1.75E+13,3.52E+12,0.933,116.2,5.6,167,22.5,1.60E+13,1.93E+12,0.932
5.01E-04,115.2,2.2,156.1,32.5,2.16E+13,4.40E+12,0.935,115.2,5.2,165.6,19.4,2.04E+13,2.23E+12,0.935
6.31E-04,114.5,2.3,160.7,33.6,2.65E+13,5.42E+12,0.937,114.2,4.8,164.1,15.5,2.60E+13,2.49E+12,0.938
7.94E-04,113.8,2.3,165.8,34.3,3.25E+13,6.60E+12,0.939,113.1,4.6,163.4,13.9,3.30E+13,2.88E+12,0.94
1.00E-03,113,2.4,170.9,34.7,3.99E+13,8.00E+12,0.941,112,4.4,163,12.6,4.17E+13,3.25E+12,0.943
1.26E-03,112.3,2.4,176.5,30.5,4.88E+13,8.40E+12,0.942,110.9,4.4,163.3,11.8,5.24E+13,3.71E+12,0.945
1.58E-03,111.5,2.3,182.1,27.9,5.97E+13,8.92E+12,0.944,109.8,4.1,164.2,10.7,6.56E+13,4.27E+12,0.948
2.00E-03,110.7,2.2,187.6,27.8,7.31E+13,1.04E+13,0.946,108.8,4.1,165.7,10.9,8.18E+13,5.86E+12,0.949
2.51E-03,109.8,2.2,193.3,26.8,8.93E+13,1.21E+13,0.948,107.8,4,167.6,13.2,1.02E+14,8.59E+12,0.951
3.16E-03,108.9,2.1,198.9,26.4,1.09E+14,1.43E+13,0.949,106.8,4.1,170.1,18.8,1.26E+14,1.42E+13,0.953
3.98E-03,108,2.1,204,22.8,1.34E+14,1.58E+13,0.951,105.8,4.1,173.2,24.6,1.55E+14,2.42E+13,0.954
5.01E-03,106.9,2,208.2,21,1.65E+14,1.81E+13,0.952,104.8,4.2,176.7,29.8,1.91E+14,3.84E+13,0.956
6.31E-03,105.9,1.9,211.5,20.7,2.05E+14,2.18E+13,0.954,104,4.3,179.3,34.1,2.37E+14,5.68E+13,0.956
7.94E-03,104.8,1.9,213.9,21.1,2.56E+14,2.74E+13,0.956,103.3,4.4,182.3,45.4,2.94E+14,8.71E+13,0.957
1.00E-02,103.7,1.8,215.5,21.6,3.20E+14,3.50E+13,0.957,102.6,4.3,186,64,3.64E+14,1.39E+14,0.958
1.26E-02,102.7,1.7,216.5,23.8,4.01E+14,4.74E+13,0.958,102.1,4.2,189,71.4,4.52E+14,1.90E+14,0.958
1.58E-02,101.5,1.6,216.6,25.1,5.05E+14,6.33E+13,0.959,101.7,4.2,192.5,66.9,5.61E+14,2.37E+14,0.959
2.00E-02,100.5,1.6,215.5,26.7,6.40E+14,8.56E+13,0.96,101.2,4.3,196.4,59,6.95E+14,2.78E+14,0.959
2.51E-02,99.4,1.4,212.7,27.2,8.17E+14,1.16E+14,0.96,100.5,5.3,200.5,30.5,8.60E+14,1.23E+14,0.96
3.16E-02,98.3,1.3,209.6,28.3,1.04E+15,1.55E+14,0.961,99.8,0.9,203.9,24.7,1.07E+15,1.35E+14,0.96
3.98E-02,97.2,1.3,206.3,29.7,1.34E+15,2.10E+14,0.961,99,0.8,206.7,22,1.33E+15,1.57E+14,0.96
5.01E-02,96.2,1.3,202.8,29.6,1.71E+15,2.67E+14,0.962,98.1,0.8,207.9,20.8,1.67E+15,1.85E+14,0.961
6.31E-02,95.3,1.3,198.6,26.1,2.20E+15,3.20E+14,0.962,97.3,0.3,210.2,17,2.08E+15,1.61E+14,0.961
7.94E-02,94.3,1.4,193.8,24.6,2.84E+15,3.91E+14,0.962,96.4,0.4,210.3,22.4,2.62E+15,2.68E+14,0.961
1.00E-01,93.4,1.6,189,26.8,3.66E+15,5.29E+14,0.963,95.2,0.5,211,19.3,3.30E+15,2.97E+14,0.962
1.26E-01,92.5,1.6,185.3,25,4.70E+15,6.67E+14,0.963,94,0.6,210.1,8.5,4.17E+15,1.77E+14,0.963
1.58E-01,91.6,1.6,182.9,25.3,6.00E+15,9.36E+14,0.964,92.8,0.6,208.2,10.3,5.30E+15,2.64E+14,0.963
2.00E-01,90.7,1.7,180.9,24.6,7.64E+15,1.25E+15,0.964,91.8,0.2,203.8,15.3,6.82E+15,5.10E+14,0.963
2.51E-01,89.8,1.7,181.1,30.2,9.61E+15,1.91E+15,0.964,,,,,,,
3.16E-01,88.8,0.6,182.3,16.5,1.20E+16,1.16E+15,0.965,,,,,,,
3.98E-01,87.9,0.7,185.2,17.1,1.49E+16,1.43E+15,0.965,,,,,,,
5.01E-01,86.9,0.8,189.4,18.2,1.84E+16,1.81E+15,0.965,,,,,,,
6.31E-01,85.9,0.8,195.7,19.2,2.25E+16,2.19E+15,0.965,,,,,,,
7.94E-01,84.9,0.9,203.1,22.2,2.73E+16,3.12E+15,0.965,,,,,,,
1.00E+00,83.9,1.3,210.9,21.1,3.32E+16,3.28E+15,0.965,,,,,,,
1.26E+00,82.8,1.5,219.9,20.7,4.00E+16,3.76E+15,0.965,,,,,,,
1.58E+00,81.7,1.6,229.4,18.4,4.82E+16,3.84E+15,0.965,,,,,,,
2.00E+00,80.7,1.8,238.8,15.9,5.83E+16,3.87E+15,0.965,,,,,,,
2.51E+00,79.7,1.9,247.5,15.9,7.08E+16,4.58E+15,0.965,,,,,,,
