Pressure (mbar),Alt AM (km),Std Alt AM (km),Temp AM (K),Std Temp AM (K),Density AM (cm-3),Std Density AM (cm-3),VMR AM (1),Alt PM (km),Std Alt PM (km),Temp PM (K),Std Temp PM (K),Density PM (cm-3),Std Density PM (cm-3),VMR PM (1)
5.01E-08,147.5,1.8,205.8,17.4,1.08E+09,1.59E+08,0.62,147.4,1.1,184.6,12.2,1.21E+09,3.51E+07,0.62
6.31E-08,146.4,1.7,211.8,14.6,1.37E+09,1.70E+08,0.64,146.8,1.5,188.5,11.7,1.53E+09,6.36E+07,0.63
7.94E-08,145.4,1.6,218.4,12.1,1.72E+09,1.73E+08,0.66,146,1.5,194.2,13,1.91E+09,8.91E+07,0.65
1.00E-07,144.4,3.2,224.3,22.6,2.17E+09,4.39E+08,0.68,145,1.7,201.5,17.1,2.39E+09,1.57E+08,0.67
1.26E-07,143.5,3,228.7,22.6,2.74E+09,4.88E+08,0.7,144.1,1.8,208.2,22,3.00E+09,2.46E+08,0.69
1.58E-07,142.5,3.4,231.8,14.9,3.50E+09,4.65E+08,0.71,143.1,1.2,214,4.2,3.76E+09,1.42E+08,0.7
2.00E-07,141.6,3.3,233.7,18.2,4.48E+09,5.05E+08,0.73,142,0.8,218.7,3.6,4.76E+09,7.34E+07,0.72
2.51E-07,140.8,3.2,232.9,25.9,5.74E+09,6.27E+08,0.74,140.8,1,221.6,5.7,6.05E+09,1.56E+08,0.74
3.16E-07,140.1,3.1,231.1,25.8,7.34E+09,6.72E+08,0.75,139.7,1,222.7,6.6,7.75E+09,3.73E+08,0.76
3.98E-07,139.5,2.7,228.8,19.1,9.33E+09,3.61E+08,0.76,138.5,1.7,221.6,11.8,1.00E+10,7.45E+08,0.77
5.01E-07,138.9,2.7,226.4,23.2,1.19E+10,5.99E+08,0.77,137.4,3.5,218.4,32.2,1.30E+10,1.38E+09,0.79
6.31E-07,138.1,2.9,226.4,25.4,1.50E+10,9.50E+08,0.78,136.4,4.3,213.4,44.6,1.72E+10,2.34E+09,0.8
7.94E-07,137.5,3.5,223.5,36.6,1.90E+10,2.19E+09,0.79,135.4,4.8,206,52,2.27E+10,3.60E+09,0.81
1.00E-06,136.6,2.9,221,32.5,2.42E+10,2.55E+09,0.8,134.5,5.5,197,48.2,3.02E+10,4.93E+09,0.82
1.26E-06,135.6,2.5,214.3,26.7,3.17E+10,2.97E+09,0.81,133.7,5.5,187.3,39.8,4.04E+10,6.08E+09,0.83
1.58E-06,134.5,2.3,207.4,24.1,4.15E+10,3.76E+09,0.82,132.9,5.6,178,31.6,5.41E+10,7.43E+09,0.84
2.00E-06,133.3,2.3,200.2,25,5.55E+10,6.18E+09,0.84,132.1,5.5,169.2,23.3,7.25E+10,9.27E+09,0.85
2.51E-06,132.2,2.4,196.2,34.9,7.21E+10,1.19E+10,0.85,131.3,5.6,160.6,15.8,9.70E+10,1.30E+10,0.86
3.16E-06,131.1,2.7,189.7,78,9.60E+10,3.00E+10,0.86,130.6,5.6,153.7,14.8,1.28E+11,2.24E+10,0.86
3.98E-06,129.9,2.8,182.1,88.5,1.28E+11,4.34E+10,0.87,129.9,5.6,147.9,18.1,1.67E+11,3.53E+10,0.87
5.01E-06,128.9,2.8,173.4,86.2,1.72E+11,5.63E+10,0.88,129.2,5.5,143.1,25.2,2.17E+11,5.42E+10,0.87
6.31E-06,127.9,2.6,163.3,88,2.33E+11,6.13E+10,0.88,128.5,5.2,139.6,29.7,2.79E+11,7.68E+10,0.88
7.94E-06,127.1,2.4,154.9,83.1,3.12E+11,7.08E+10,0.89,127.8,4,137,34.2,3.58E+11,9.77E+10,0.88
1.00E-05,126.5,2.3,150.9,72.2,4.05E+11,8.40E+10,0.89,127.1,3.2,135.9,23.7,4.55E+11,1.19E+11,0.89
1.26E-05,125.9,2.4,147.7,79.3,5.23E+11,1.03E+11,0.9,126.3,2.4,136,16.3,5.73E+11,1.44E+11,0.89
1.58E-05,125.3,2.7,144.8,94.2,6.74E+11,1.26E+11,0.9,125.6,2.3,137.5,14.7,7.16E+11,1.74E+11,0.9
2.00E-05,124.8,2.5,142.3,71.7,8.68E+11,1.58E+11,0.9,124.8,2.8,139.7,19.6,8.89E+11,2.15E+11,0.9
2.51E-05,124.2,2.5,139.7,61.4,1.12E+12,1.98E+11,0.91,124,3.3,141.9,23.9,1.11E+12,2.69E+11,0.91
3.16E-05,123.6,2.6,137.2,56.9,1.44E+12,2.50E+11,0.91,123.1,3.1,143.9,23.2,1.39E+12,3.37E+11,0.91
3.98E-05,123.1,2.6,134.9,52.1,1.85E+12,3.17E+11,0.91,122.3,3.2,145.5,25.6,1.75E+12,4.27E+11,0.91
5.01E-05,122.6,2.5,132.9,43.1,2.38E+12,4.03E+11,0.91,121.4,3.6,146.9,31.6,2.20E+12,5.38E+11,0.91
6.31E-05,122.1,2.1,131.3,29,3.05E+12,5.16E+11,0.91,120.5,3.7,148.2,34.5,2.76E+12,6.83E+11,0.92
7.94E-05,121.6,1.9,130.3,22.8,3.91E+12,6.35E+11,0.91,119.7,3.6,148.9,34.3,3.48E+12,8.64E+11,0.92
1.00E-04,121.1,1.8,129.9,18.9,4.98E+12,7.75E+11,0.92,118.8,3.4,149.1,34.2,4.40E+12,1.08E+12,0.92
1.26E-04,120.6,2.1,130.6,20.2,6.29E+12,9.36E+11,0.92,118,3.3,148.6,33.9,5.58E+12,1.33E+12,0.93
1.58E-04,120.1,2.4,131.4,22.6,7.94E+12,1.15E+12,0.92,117.2,3.2,148.2,33.2,7.09E+12,1.64E+12,0.93
2.00E-04,119.6,2.4,132.8,20,9.99E+12,1.45E+12,0.92,116.4,3.1,147.6,32.2,9.02E+12,2.01E+12,0.93
2.51E-04,119,2.6,134.7,20.9,1.25E+13,1.92E+12,0.92,115.7,3.1,147,31.6,1.15E+13,2.48E+12,0.93
3.16E-04,118.5,3.1,137.1,28.4,1.56E+13,2.78E+12,0.92,114.9,3.1,146,30.1,1.46E+13,2.99E+12,0.94
3.98E-04,117.8,3.1,139.4,31.7,1.95E+13,4.04E+12,0.93,114.3,3,146.1,28.3,1.84E+13,3.43E+12,0.94
5.01E-04,117.1,3,142.3,36.5,2.42E+13,5.78E+12,0.93,113.6,3,147.4,25.7,2.31E+13,3.80E+12,0.94
6.31E-04,116.3,2.8,145.8,38.9,2.99E+13,7.71E+12,0.93,112.9,3.2,149.6,21.8,2.87E+13,3.92E+12,0.94
7.94E-04,115.5,2.7,149.8,40.5,3.68E+13,1.01E+13,0.93,112.1,3.3,152.6,18,3.56E+13,3.97E+12,0.94
1.00E-03,114.7,2.6,153.9,41.5,4.51E+13,1.31E+13,0.94,111.4,3.4,155.4,14.3,4.42E+13,3.96E+12,0.94
1.26E-03,113.9,2.7,158.7,34.7,5.51E+13,1.27E+13,0.94,110.6,3.4,159.6,10.7,5.43E+13,3.53E+12,0.95
