Pressure (mbar),Alt AM (km),Std Alt AM (km),Temp AM (K),Std Temp AM (K),Density AM (cm-3),Std Density AM (cm-3),VMR AM (1),Alt PM (km),Std Alt PM (km),Temp PM (K),Std Temp PM (K),Density PM (cm-3),Std Density PM (cm-3),VMR PM (1)
1.58E-03,113,2.7,163.8,27.2,6.73E+13,1.14E+13,0.94,109.9,3.4,164.3,8,6.64E+13,3.19E+12,0.95
2.00E-03,112.1,2.6,169.2,19.2,8.20E+13,9.21E+12,0.94,109,3.5,169.7,7.1,8.08E+13,3.44E+12,0.95
2.51E-03,111.2,2.6,174.9,12.2,9.98E+13,6.75E+12,0.94,108.2,3.6,175.6,8.2,9.82E+13,4.75E+12,0.95
3.16E-03,110.4,2.5,181,10.1,1.21E+14,6.27E+12,0.95,107.3,3.6,181.4,11,1.19E+14,7.24E+12,0.95
3.98E-03,109.6,2.4,186.9,13.5,1.47E+14,9.84E+12,0.95,106.4,3.6,186.7,14.9,1.46E+14,1.09E+13,0.95
5.01E-03,108.7,2.1,192.5,15.9,1.79E+14,1.44E+13,0.95,105.5,3.5,191.8,16.9,1.78E+14,1.45E+13,0.95
6.31E-03,107.7,1.8,199,17,2.18E+14,1.95E+13,0.95,104.6,3.4,197,16.6,2.18E+14,1.74E+13,0.96
7.94E-03,106.7,1.6,205.1,18.6,2.67E+14,2.60E+13,0.95,103.6,3.8,202,19,2.67E+14,2.21E+13,0.96
1.00E-02,105.7,1.6,210.3,21,3.28E+14,3.42E+13,0.95,102.6,4,206.7,22.6,3.27E+14,3.02E+13,0.96
1.26E-02,104.7,1.8,215,24.6,4.05E+14,4.56E+13,0.96,101.6,4.1,211.3,26.2,4.02E+14,3.97E+13,0.96
1.58E-02,103.6,1.4,219.2,27.3,5.01E+14,5.86E+13,0.96,100.5,4.1,215.5,29.4,4.94E+14,5.16E+13,0.96
2.00E-02,102.5,1.5,222.6,28.3,6.21E+14,7.33E+13,0.96,99.4,4,219.4,34.5,6.10E+14,7.14E+13,0.96
2.51E-02,101.4,1.5,225.4,29.3,7.73E+14,9.30E+13,0.96,98.4,3.9,218,37.6,7.75E+14,9.86E+13,0.96
3.16E-02,100.3,1.5,227.4,28.8,9.66E+14,1.11E+14,0.96,97.3,3.9,214.4,40.5,9.97E+14,1.35E+14,0.96
3.98E-02,99.1,1.5,228.7,26.9,1.21E+15,1.26E+14,0.96,96.3,3.9,210.3,45.2,1.29E+15,2.03E+14,0.96
5.01E-02,98.1,1.6,227.6,3.8,1.53E+15,2.54E+13,0.96,95,3.8,204.3,49.7,1.68E+15,2.94E+14,0.96
6.31E-02,97.1,3.2,226.5,3.5,1.94E+15,2.82E+13,0.96,93.9,3.7,197.6,26.1,2.20E+15,2.70E+14,0.96
7.94E-02,96.1,3.3,225,3.6,2.46E+15,3.63E+13,0.96,92.8,4,190.8,7.2,2.89E+15,1.19E+14,0.96
1.00E-01,95,3.2,222.8,3.3,3.13E+15,4.22E+13,0.96,91.7,3.9,183.4,7.4,3.80E+15,1.62E+14,0.96
1.26E-01,94,3.1,220.4,3.2,3.98E+15,5.36E+13,0.96,90.6,4.1,175.9,0.7,5.00E+15,2.98E+13,0.96
1.58E-01,92.9,3.1,218,3.7,5.07E+15,8.44E+13,0.96,89.6,4.1,171.6,0.6,6.46E+15,3.36E+13,0.96
2.00E-01,,,,,,,,88.5,4.1,164.3,0.6,8.48E+15,4.05E+13,0.96
2.51E-01,,,,,,,,87.3,4.1,162.3,0.5,1.08E+16,4.75E+13,0.97
3.16E-01,,,,,,,,86.4,4.1,161.4,0.5,1.37E+16,5.77E+13,0.97
3.98E-01,,,,,,,,85.7,4.1,160.9,0.6,1.73E+16,7.95E+13,0.97
