Pressure (mbar),Alt AM (km),Std Alt AM (km),Temp AM (K),Std Temp AM (K),Density AM (cm-3),Std Density AM (cm-3),VMR AM (1),Alt PM (km),Std Alt PM (km),Temp PM (K),Std Temp PM (K),Density PM (cm-3),Std Density PM (cm-3),VMR PM (1)
5.01E-08,148.4,0.7,205.7,29.9,1.03E+09,1.77E+08,0.6,147.9,0.1,208.8,11,1.04E+09,5.44E+07,0.61
6.31E-08,147.2,1.3,209.9,35,1.32E+09,3.01E+08,0.62,147.2,2,213.6,25.4,1.32E+09,2.24E+08,0.62
7.94E-08,145.9,1,213.5,34.1,1.69E+09,3.64E+08,0.65,146.4,1.8,217.5,24.3,1.67E+09,2.64E+08,0.64
1.00E-07,144.7,0.8,216.2,34,2.18E+09,4.30E+08,0.68,145.5,1.5,220.6,20.3,2.13E+09,2.57E+08,0.66
1.26E-07,143.5,0.5,216.1,34.8,2.83E+09,5.16E+08,0.7,144.6,2,223.6,15.4,2.71E+09,2.53E+08,0.68
1.58E-07,142.3,0.5,215,36.9,3.68E+09,6.80E+08,0.72,143.8,1.9,227.4,14.3,3.41E+09,2.61E+08,0.69
2.00E-07,141.3,0.7,213.6,40.9,4.70E+09,9.22E+08,0.73,142.8,1.8,229.2,18.6,4.36E+09,3.60E+08,0.71
2.51E-07,140.3,1,213.8,43.9,5.92E+09,1.19E+09,0.75,141.7,1.9,229.9,24.2,5.60E+09,5.90E+08,0.73
3.16E-07,139.5,1.3,214,32.8,7.46E+09,1.09E+09,0.76,140.7,2,229.1,29.8,7.22E+09,9.53E+08,0.74
3.98E-07,138.7,1.5,214.2,25.6,9.41E+09,9.49E+08,0.77,139.7,3.7,227.2,51,9.32E+09,2.12E+09,0.76
5.01E-07,137.9,2.2,214.1,12.9,1.19E+10,3.58E+09,0.78,138.7,5,224.1,48.5,1.21E+10,2.68E+09,0.77
6.31E-07,137,1.6,213.9,9.8,1.52E+10,4.29E+09,0.79,137.7,4.8,219.1,42,1.58E+10,3.31E+09,0.78
7.94E-07,136.3,0.9,214,40,1.90E+10,5.02E+09,0.8,136.8,6.1,214.9,45,2.05E+10,4.42E+09,0.8
1.00E-06,135.5,0.9,216,40.4,2.38E+10,5.89E+09,0.81,135.9,5.9,208.9,41.7,2.67E+10,5.61E+09,0.81
1.26E-06,134.8,0.9,218.4,38.8,2.98E+10,6.97E+09,0.82,135.2,5.9,201.9,39,3.51E+10,7.75E+09,0.82
1.58E-06,133.8,0.9,218.5,34.1,3.84E+10,8.27E+09,0.83,134.4,6.1,194.6,39.7,4.61E+10,1.11E+10,0.83
2.00E-06,132.8,0.9,213.7,30.5,5.07E+10,1.02E+10,0.84,133.7,6,187,40.6,6.07E+10,1.54E+10,0.83
2.51E-06,131.8,0.9,209.4,30.4,6.71E+10,1.35E+10,0.85,132.8,5.7,179.1,42.1,8.02E+10,2.07E+10,0.84
3.16E-06,130.8,0.9,202.5,31.1,8.94E+10,1.92E+10,0.86,132,5.6,172.3,44.2,1.06E+11,2.96E+10,0.85
3.98E-06,129.9,0.8,193.8,32.3,1.20E+11,2.86E+10,0.87,131.1,5.3,166,45.3,1.39E+11,4.09E+10,0.86
5.01E-06,129,0.7,185.4,30.3,1.61E+11,3.50E+10,0.88,130.4,5.3,160.3,40.1,1.82E+11,5.39E+10,0.86
6.31E-06,128.1,0.7,176.1,29.7,2.16E+11,4.01E+10,0.88,129.6,3.5,155.2,13.9,2.37E+11,7.00E+10,0.87
7.94E-06,127.3,0.6,166.5,27.7,2.91E+11,5.13E+10,0.89,128.8,2.5,150.4,9.4,3.10E+11,8.79E+10,0.88
1.00E-05,126.5,0.5,157.2,20.8,3.91E+11,5.67E+10,0.89,127.9,2,146.1,7.1,4.04E+11,1.09E+11,0.88
1.26E-05,125.8,0.4,149.1,19.1,5.24E+11,7.25E+10,0.9,127,1.7,142.5,5.8,5.25E+11,1.33E+11,0.89
1.58E-05,125,0.4,142.1,17.9,6.97E+11,9.11E+10,0.9,126.2,1.5,139.7,4.9,6.80E+11,1.62E+11,0.9
2.00E-05,124.3,0.4,136.2,16.7,9.09E+11,1.15E+11,0.91,125.4,1.3,137.5,4.1,8.75E+11,1.93E+11,0.9
2.51E-05,123.7,0.4,131.3,9.5,1.18E+12,1.51E+11,0.91,124.7,1.2,136.2,3.5,1.12E+12,2.26E+11,0.9
3.16E-05,123.2,0.4,128.3,4.3,1.51E+12,2.16E+11,0.91,124,1.1,135.6,3.1,1.43E+12,2.69E+11,0.91
3.98E-05,122.6,0.4,125.2,18.8,1.94E+12,3.73E+11,0.91,123.3,1,135.5,2.7,1.82E+12,3.22E+11,0.91
5.01E-05,122,0.5,122.5,25.2,2.48E+12,5.48E+11,0.91,122.6,0.9,136,2.3,2.30E+12,3.73E+11,0.91
6.31E-05,121.3,0.5,120.6,21.6,3.16E+12,7.23E+11,0.91,121.9,1,137,2.1,2.91E+12,4.28E+11,0.91
7.94E-05,120.7,0.6,119.7,18.6,4.00E+12,9.57E+11,0.92,121.3,1.1,138,2.1,3.67E+12,5.09E+11,0.91
1.00E-04,120.1,0.6,120,18.6,5.03E+12,1.20E+12,0.92,120.6,1.1,139.3,2.1,4.61E+12,6.08E+11,0.92
1.26E-04,119.5,0.6,122.8,23.6,6.20E+12,1.50E+12,0.92,120,1.2,140.7,2.2,5.80E+12,7.23E+11,0.92
1.58E-04,118.8,0.6,126.4,26.9,7.74E+12,1.82E+12,0.92,119.3,1.1,142.5,1.8,7.27E+12,7.91E+11,0.92
2.00E-04,118,0.6,130.8,28.3,9.62E+12,2.19E+12,0.93,118.6,1.1,144.1,1.9,9.12E+12,1.13E+12,0.92
2.51E-04,117.2,0.6,136.1,29.2,1.19E+13,2.60E+12,0.93,117.9,1.1,145.8,1.5,1.14E+13,1.08E+12,0.93
3.16E-04,116.3,0.6,142.2,29.9,1.45E+13,3.08E+12,0.93,117.2,1.2,147.4,1.4,1.43E+13,1.07E+12,0.93
3.98E-04,115.4,0.6,150.5,30.1,1.75E+13,3.52E+12,0.93,116.5,1.2,150,1.7,1.78E+13,1.01E+12,0.93
5.01E-04,114.4,0.6,158.4,29.4,2.11E+13,4.01E+12,0.94,115.7,1.2,152.7,2.6,2.21E+13,1.41E+12,0.93
6.31E-04,113.4,0.6,167.2,29.9,2.54E+13,4.72E+12,0.94,114.9,1.3,156.1,4.1,2.73E+13,2.39E+12,0.94
7.94E-04,112.2,0.6,177.2,31.8,3.04E+13,5.77E+12,0.94,114,1.3,160.5,5.7,3.35E+13,3.81E+12,0.94
1.00E-03,111.3,0.6,184.9,34.5,3.67E+13,7.37E+12,0.94,113.1,1.4,165.2,7.2,4.11E+13,5.62E+12,0.94
1.26E-03,110.4,0.6,192.5,37.9,4.45E+13,9.53E+12,0.95,112.2,1.4,171.1,8.8,5.00E+13,7.90E+12,0.94
1.58E-03,109.4,0.6,200,42.9,5.41E+13,1.23E+13,0.95,111.2,1.5,177.7,9.4,6.07E+13,1.04E+13,0.94
2.00E-03,108.5,0.6,207.1,40.9,6.58E+13,1.51E+13,0.95,110.2,1.5,184.9,11.6,7.35E+13,1.47E+13,0.95
2.51E-03,107.5,1.5,214.1,7.3,8.03E+13,1.58E+13,0.95,109.1,1.6,193,14.5,8.88E+13,2.05E+13,0.95
3.16E-03,106.5,2,220.7,4.1,9.83E+13,1.80E+13,0.95,107.9,1.7,201.3,17.9,1.07E+14,2.73E+13,0.95
3.98E-03,105.5,1.2,226.8,3.3,1.21E+14,5.30E+12,0.95,106.8,1.9,209.4,21.9,1.30E+14,3.58E+13,0.95
5.01E-03,104.5,1.2,231.7,3.3,1.49E+14,6.58E+12,0.96,105.7,2.2,216.9,27,1.58E+14,4.51E+13,0.95
6.31E-03,103.6,1.2,235.1,3.8,1.85E+14,9.02E+12,0.96,104.6,2.7,223.5,32.9,1.93E+14,5.69E+13,0.96
7.94E-03,102.4,1.9,239.8,1.3,2.29E+14,1.15E+13,0.96,103.5,3.5,229,42.3,2.37E+14,7.20E+13,0.96
1.00E-02,101.2,1.7,243.2,1.6,2.85E+14,1.44E+13,0.96,102.4,5.1,233.1,63.7,2.93E+14,9.06E+13,0.96
1.26E-02,100,1,245.1,3.4,3.56E+14,1.80E+13,0.96,101.3,5.6,235.5,60.1,3.65E+14,1.01E+14,0.96
1.58E-02,98.8,0.6,245.9,5.9,4.47E+14,2.42E+13,0.96,100.3,5.9,236.3,54.5,4.59E+14,1.09E+14,0.96
2.00E-02,97.6,0.4,245.4,11.1,5.64E+14,3.24E+13,0.96,99.3,6.1,235.2,48.8,5.81E+14,1.14E+14,0.96
2.51E-02,96.4,0.3,244.1,8.4,7.15E+14,2.89E+13,0.96,98.3,6.2,232.4,44.7,7.41E+14,1.24E+14,0.96
3.16E-02,95.3,0.3,241.8,5.5,9.09E+14,2.41E+13,0.96,97.3,6.5,228.9,39.2,9.47E+14,1.40E+14,0.96
3.98E-02,94.2,0.2,238.7,4.4,1.16E+15,2.23E+13,0.96,96.4,6.5,223.7,33.3,1.22E+15,1.68E+14,0.96
5.01E-02,93.3,0.2,234.3,3.8,1.49E+15,2.55E+13,0.96,95.3,6.5,216,34.9,1.60E+15,2.45E+14,0.96
6.31E-02,92.3,0.2,230.1,5,1.91E+15,4.78E+13,0.96,94.3,6.3,208.8,44.1,2.09E+15,3.67E+14,0.96
7.94E-02,91.6,0.2,224.7,7.2,2.46E+15,9.34E+13,0.96,93.3,6.1,200.5,62.9,2.75E+15,6.64E+14,0.96
1.00E-01,90.9,0.2,218.9,7.8,3.19E+15,1.30E+14,0.96,92.3,5.7,192.5,82,3.61E+15,1.08E+15,0.96
1.26E-01,90.2,0.2,212.5,9,4.13E+15,1.93E+14,0.96,91.3,2.4,184.6,27.4,4.75E+15,7.06E+14,0.96
1.58E-01,89.6,0.1,205.4,6.3,5.38E+15,1.88E+14,0.96,90.3,2.4,176.8,29.7,6.27E+15,1.03E+15,0.96
2.00E-01,89,0.1,199,6.3,6.99E+15,2.48E+14,0.96,89.2,2.1,169.3,30.2,8.24E+15,1.36E+15,0.96
2.51E-01,88.4,0.1,192.3,5.6,9.10E+15,3.21E+14,0.96,88.2,2.1,162.3,38,1.08E+16,2.46E+15,0.96
3.16E-01,87.8,0,185.9,25.3,1.18E+16,1.63E+15,0.97,87.1,1.9,156.7,41,1.41E+16,3.58E+15,0.97
3.98E-01,87.3,0,180.3,24,1.54E+16,2.08E+15,0.97,86.2,0.5,152.2,11.5,1.83E+16,1.53E+15,0.97
5.01E-01,86.5,0,174.6,23.5,2.00E+16,2.72E+15,0.97,85.3,0.4,148.3,13.7,2.36E+16,2.37E+15,0.97
6.31E-01,85.8,0.1,169.7,21.9,2.59E+16,3.39E+15,0.97,84.3,0.4,144.9,15.5,3.04E+16,3.47E+15,0.97
7.94E-01,85,0.1,165.8,17.2,3.33E+16,3.49E+15,0.97,83.4,0.3,142.3,16.7,3.89E+16,4.88E+15,0.97
1.00E+00,84.3,0.1,163.3,10.7,4.27E+16,2.78E+15,0.97,,,,,,,
